Timestamp,Which stage of life best describes you right now?,  What is your age group?  ,How often do you feel unsure or confused while making everyday decisions?  ,What kind of decisions do you usually overthink the most?  ,"When you’re stuck on a decision, what do you usually do first?  ",How often do you feel overwhelmed by having too many choices?  ,How comfortable are you taking risks when making decisions?  ,What matters most to you when making important decisions?  ,What frustrates you most while making an important decision?  ,"If an AI could help you make decisions, what would you want it to do?  ",Would you trust an AI system that explains its reasoning instead of just giving answers?  ,"How important is it for AI suggestions to be ethical, unbiased, and responsible?", How would you prefer AI recommendations to be presented?  ,What would make you not trust an AI decision support tool?  ,"In one line, what does “making the right decision” mean to you?  "
2/13/2026 14:44:49,Family & responsibility phase,26–30,Sometimes,I generally don’t overthink decisions,Search online (Google / social media),Sometimes,It depends on the situation,Long-term outcomes,Not knowing possible outcomes,Show risks and possible outcomes,Not sure,Important,Clear comparison of options,.,Moving forward
2/13/2026 15:31:12,Early career / Building professional experience,22–25,Very often,Career or education choices,Delay the decision,Often,I’m okay with moderate risks,Long-term outcomes,Fear of making the wrong choice,"Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Important,Simple step-by-step guidance,Too many confusing options,Give long term goal a direction 
2/13/2026 19:23:41,Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Go with my gut feeling,Often,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,"Yes, definitely",Extremely important,Visual outcomes or scenarios,"Lack of transparency, accountability, and accuracy","Making the right decision means choosing a course of action that aligns with your values, produces the best possible outcome given the available information, and can be justified ethically and logically."
2/13/2026 19:30:32,Student / Exploring education and career options,Below 18,Rarely,Career or education choices,Ask friends or family,Sometimes,It depends on the situation,Other,"Fear of making the wrong choice, Not knowing possible outcomes","Show risks and possible outcomes, Compare different options clearly","Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,It does not have emotions and haven't unlocked deep emotional learning yet ,Having a proper knowledge and possible outcome of that decision with no regression 
2/13/2026 19:35:36,Student / Exploring education and career options,Below 18,Sometimes,"Career or education choices, Financial or purchase decisions",Go with my gut feeling,Sometimes,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others","Compare different options clearly, Personalize advice based on my situation","Maybe, if it’s transparent",Extremely important,Clear comparison of options,Reviews and if the answer given is top generalized ,The after consequences 
2/13/2026 19:53:37,Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Ask friends or family,Sometimes,I’m okay with moderate risks,Long-term outcomes,Fear of making the wrong choice,Compare different options clearly,Not sure,Extremely important,Clear comparison of options,That it would not tell me my mistakes and wrong decisions and instead would only praise me,On which i have confidence and i am sure that i will bear its good as well as bad consequences
2/13/2026 22:16:44,Student / Exploring education and career options,Below 18,Very often,"Career or education choices, Personal or relationship decisions",Go with my gut feeling,Almost always,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence","Break the decision into simple steps, Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Extremely important,Simple step-by-step guidance,Making wrong decision ,"choosing a path aligned with your core values, long-term goals, and well-being, even if it causes temporary discomfort."
2/13/2026 22:29:03,Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Ask friends or family,Often,I’m okay with moderate risks,Long-term outcomes,Too many options,Explain why a suggestion is given,"Maybe, if it’s transparent",Slightly important,Simple step-by-step guidance,Some time it happens with me when I do not trust ai decisions ,To give me an appropriate answer of the question 
2/14/2026 21:25:02,Student / Exploring education and career options,18–21,Sometimes,I generally don’t overthink decisions,Delay the decision,Almost always,I avoid risks whenever possible,Avoiding mistakes / minimizing risk,Lack of confidence,Explain why a suggestion is given,Not sure,Not important,Clear comparison of options,Yes I not trust on AI,I not trust you 
2/16/2026 14:00:27,Life transition / Re-evaluating goals,Below 18,Rarely,Personal or relationship decisions,Search online (Google / social media),Almost always,I prefer to play it safe,Long-term outcomes,Not knowing possible outcomes,Compare different options clearly,"Maybe, if it’s transparent",Slightly important,Simple step-by-step guidance,I dnt know,Good outcome
